item_id,item_name,manufacturer,department,current_stock,sold_stock,regular_price,review_rating
1,Hornby 2014 Catalogue,Hornby,Music,46,96,174.33,3.1
2,FunkyBuys® Large Christmas Holiday Express Festive Train Set (SI-TY1017) Toy Light / Sounds,FunkyBuys,Books,0,6,144.35,3.5
3,CLASSIC TOY TRAIN SET TRACK CARRIAGES LIGHT ENGINE BOXED BOYS KIDS BATTERY,ccf,Tools,40,95,282.62,2.8
4,HORNBY Coach R4410A BR Hawksworth Corridor 3rd,Hornby,Music,57,27,266.84,1.7
5,Hornby 00 Gauge 0-4-0 Gildenlow Salt Co. Steam Locomotive Model,Hornby,Beauty,89,67,71.41,3.1
6,20pcs Model Garden Light Double Heads Lamppost Scale 1:100,Generic,Books,73,92,65.6,2.1
7,Hornby 00 Gauge 230mm BR Bogie Passenger Brake Coach Model (Red),Hornby,Electronics,76,31,42.34,3
8,Hornby Santa's Express Train Set,Hornby,Grocery,18,13,222.83,3
9,Hornby Gauge Western Express Digital Train Set with eLink and TTS Loco Train Set,Hornby,Outdoors,59,99,148.27,2.2
10,Learning Curve Chuggington Interactive Chatsworth,Chuggington,Garden,73,3,90.35,2.7
11,Hornby Gauge Railroad Mosley Tarmacadam Locomotive,Hornby,Jewelery,16,75,158.58,2.4
12,Kato (USA) 176-1308 F3B Denver & Rio Grande Western,Kato (USA),Toys,20,70,204.12,2.5
13,Bachmann 37-662 14 Ton Tank Wagon Pease & Partners Red,Bachmann,Kids,67,56,101.14,1.9
14,Hornby 00 Gauge 253mm Weathered Paviland Grange Steam Locomotive Train Model,Hornby,Jewelery,5,7,35.68,1.8
15,Kato 3060-2 EF65 500 (F Model) Electric Locomotive,Kato,Home,88,51,224.22,2
16,Glacier Express of N gauge 10-1219 Alps [UNESCO paint color] 7 Car Set,Kato,Grocery,27,85,152.71,3.5
17,Power Trains Freight Industrial (Pack of 4),Power Trains,Baby,31,36,111.18,3.8
18,Chuggington Interactive Wash and Fuel Set with Brewster Train Toy,Chuggington,Shoes,70,1,94.1,1.6
19,Kumoyuni 74-0 Shonan Color (Model Train),Kato,Jewelery,1,72,219.01,2
20,Bachmann 31-588 Freightliner Class 70 005 Powerhaul Diesel Weathered,Bachmann,Grocery,19,72,154.17,1.9
21,Preiser 30495 Horse Drawn Wedding Coach (Closed),Preiser,Tools,86,93,131.23,3.7
22,Preiser 30414 Horse Drawn Liquid Manure Wagon,Preiser,Grocery,21,97,40.33,3.6
23,Bachmann Class A2 60534 'Irish Elegance' BR Lined Green Early Emblem,Bachmann,Tools,15,82,140.42,3
24,Plarail - S-29 Steam Locomotive Type C61-20 w/Head Light (Model Train),Takara Tomy,Toys,77,50,159.93,2.4
25,Roco 64723 OBB Railjet Economy Coach V,Roco,Home,12,65,163.31,2.4
26,Learning Curve Chuggington Interactive Brewster,Chuggington,Baby,57,33,158.07,1.3
27,Plarail - AS-07 Shinkansen Series 700 (Model Train),Takara Tomy,Shoes,19,70,260.85,2
28,Thomas and Friends Take-n-Play Molly,Fisher-Price,Automotive,58,22,182.81,1.8
29,Hornby R2981 London 2012 1948 Games 00 Gauge Limited Edition Train Pack,Hornby,Baby,53,57,220.03,2.1
30,Gaugemaster HBYS Hornby Type Colour Light Signal for 12v DC,Gaugemaster,Kids,51,35,268.36,3.2
31,Hornby R3246TTS LNER 2-8-2 'Cock O' The North' P2 Class with TTS Sound,Hornby,Health,51,49,273.22,1.8
32,Thomas and Friends Take-n-Play Elizabeth,Fisher-Price,Clothing,63,49,140.65,2.3
33,Faller 140322,Faller,Industrial,97,79,105.76,2.7
34,Topro LED Flashing Neon Sensory Maracas Light Up Maracas Toy,Topro,Clothing,100,93,44.61,2.1
35,Bachmann 32-882 Fairburn 2-6-4 Tank 42062 BR Lined Black Late Crest,Bachmann,Electronics,25,8,137.92,2.6
36,Alps Glacier Express (Add-On 4-Car Set) (Model Train),Kato,Home,66,25,53.59,2.6
37,Hornby Gloucester City Pullman Train Set,Hornby,Movies,69,66,131.58,2.3
38,Dapol Model Railway Stanier 57ft Non-Corridor Coach - OO Gauge Plastic Kit,Dapol,Movies,21,30,143.47,3.1
39,Faller 140428,Faller,Shoes,83,29,30.77,2.9
40,Hornby R3086 RailRoad LNER 4-6-2 'Flying Scotsman' Class A3 00 Gauge Steam Locomotive,Hornby,Industrial,3,40,133.33,3.9
41,Ratio 271 Pratt Truss Signal Gantry Kit to span two tracks,Ratio,Grocery,78,70,250.62,3.2
42,Ohigawa Railway SL [Kawane-ji] (4-Car Set) (Model Train),Kato,Outdoors,73,93,85.54,3.2
43,HIGH SPEED TRAIN BUMP AND GO WITH MUSIC AND LIGHT HIGH QUALITY TOY,ARSUK,Games,94,92,189.82,3.3
44,"TRIX T23469 H0 Luggage wagon of K.BAY.STS.instance, Luggage van",Trix,Garden,60,0,71.04,3.1
45,Dapol Stanier 57ft Non Corridor Brake Coach - OO Gauge Plastic Kit,Dapol,Clothing,8,21,91.87,3.6
46,S-60 EF66 Electric Locomotive (Tomica PlaRail Model Train) (japan import),Takara Tomy,Computers,94,63,114.51,3.8
47,Power Trains Freight Military (Pack of 4),Power Trains,Health,29,54,196.43,1.3
48,Hornby R1138 GWR Passenger Freight 00 Gauge Electric Train Set,Hornby,Home,44,21,101.55,3.3
49,WD Austerity 2-8-0 90448 BR Black Late Crest (DCC,RAILWAY - BACHMANN,Automotive,93,59,240.43,2.2
50,"KATO 70148015 N Portram TLR 601 Portram, grün",Kato,Movies,47,4,189.53,1.2
51,I/G (2) Oldtime Lanterns Working,Busch,Jewelery,25,56,246.43,3.1
52,Piko 53366 KSStEB 1st/2nd Class Coach I,Piko,Computers,69,49,159.6,2.8
53,Hornby Digital 15 V 4 Amp Transformer,Hornby,Beauty,44,100,29.12,3.3
54,Faller 140431,Faller,Garden,99,15,177.93,2
55,Harry Potter - Diecast Hogwarts Express Train,Corgi,Movies,10,85,282.82,1.5
56,Bachmann 31-169 L&YR 2-4-2 Tank 50795 BR Lined Black Early Emblem,Bachmann,Jewelery,26,84,127.33,3.9
57,Kato 8002 Koki 10000 Freight Wagon,Kato,Shoes,52,24,127.54,3.1
58,Gaugemaster Single Track Controller/ Plug in Transformer,Gaugemaster,Electronics,67,12,266.43,1.2
59,Model Railway 'OO' / 'HO' Scale C83 Battle Of Britain Class 257 Squadron Locomotive Plastic Kit,Dapol,Sports,100,100,296.26,1.6
60,Walthers Proto 920-40695 EMD F7A RI No.676 (DCC-Sound),Sohni-Wicke,Computers,37,35,233.56,1.1
61,Hornby Railroad 00 Gauge LNER Class A1 Flying Scotsman with TTS Sound Steam Locomotive,Hornby,Grocery,55,36,125.54,1.6
62,Piko 57013 myTrain Diesel Locomotive,Piko,Games,21,68,169.95,3.9
63,Train Tech DS6 One Touch DCC Signal Dual Home (R/G),Train Tech,Beauty,68,45,249.23,1.9
64,Kato 10-847 E259 Narita Express 3 Car Powered Set,Kato,Sports,65,7,75.4,3.3
